FrameSync,DateTime (UTC+00:00),DateTime (AST),Sample Number (#),Error Flags (#),External pH (pH),Internal pH (pH),External pH (Volt),Internal pH (Volt),pH Temperature (Celsius),Relative Humidity (%),Int Temperature (Celsius)
SEAFET02114,5/20/23 0:00,5/19/23 20:00,1,8000,6.7792,6.8202,-0.899037,-0.946974,30.5978,56,30.8
SEAFET02114,5/20/23 0:15,5/19/23 20:15,2,0,6.7788,6.8205,-0.89901,-0.94694,30.6538,56,30.7
SEAFET02114,5/20/23 0:30,5/19/23 20:30,3,0,6.7786,6.82,-0.898996,-0.946959,30.6867,56.1,30.7
SEAFET02114,5/20/23 0:45,5/19/23 20:45,4,0,6.778,6.8196,-0.899021,-0.94698,30.6994,56.1,30.5
SEAFET02114,5/20/23 1:00,5/19/23 21:00,5,0,6.7776,6.8194,-0.899051,-0.946992,30.6948,56.2,30.5
SEAFET02114,5/20/23 1:15,5/19/23 21:15,6,0,6.7779,6.8204,-0.899049,-0.946939,30.6758,56.2,30.4
SEAFET02114,5/20/23 1:30,5/19/23 21:30,7,0,6.7788,6.8216,-0.899021,-0.946877,30.6437,56.2,30.3
SEAFET02114,5/20/23 1:45,5/19/23 21:45,8,0,6.7789,6.8214,-0.899048,-0.946902,30.6015,56.2,30.2
SEAFET02114,5/20/23 2:00,5/19/23 22:00,9,0,6.7798,6.8219,-0.899039,-0.94688,30.5517,56.2,30.2
SEAFET02114,5/20/23 2:15,5/19/23 22:15,10,0,6.7795,6.8214,-0.899103,-0.946927,30.4943,56.2,30.1
SEAFET02114,5/20/23 2:30,5/19/23 22:30,11,0,6.7801,6.8221,-0.899117,-0.946905,30.4304,56.2,30
SEAFET02114,5/20/23 2:45,5/19/23 22:45,12,0,6.7806,6.8224,-0.899142,-0.946904,30.3612,56.2,29.9
SEAFET02114,5/20/23 3:00,5/19/23 23:00,13,0,6.7811,6.8232,-0.899171,-0.946879,30.2872,56.1,29.8
SEAFET02114,5/20/23 3:15,5/19/23 23:15,14,0,6.7812,6.8234,-0.899227,-0.946887,30.2111,56.1,29.7
SEAFET02114,5/20/23 3:30,5/19/23 23:30,15,0,6.782,6.824,-0.899245,-0.94687,30.1315,56.2,29.6
SEAFET02114,5/20/23 3:45,5/19/23 23:45,16,0,6.7824,6.8245,-0.89929,-0.946863,30.0509,56.1,29.6
SEAFET02114,5/20/23 4:00,5/20/23 0:00,17,0,6.7828,6.8251,-0.899329,-0.94685,29.9691,56.1,29.5
SEAFET02114,5/20/23 4:15,5/20/23 0:15,18,0,6.7841,6.8258,-0.899321,-0.946834,29.8848,56.1,29.3
SEAFET02114,5/20/23 4:30,5/20/23 0:30,19,0,6.7846,6.8265,-0.899361,-0.946813,29.801,56.1,29.3
SEAFET02114,5/20/23 4:45,5/20/23 0:45,20,0,6.7855,6.8276,-0.899377,-0.946769,29.7147,56.1,29.2
SEAFET02114,5/20/23 5:00,5/20/23 1:00,21,0,6.7859,6.8279,-0.899423,-0.946775,29.6276,56.1,29.1
SEAFET02114,5/20/23 5:15,5/20/23 1:15,22,0,6.7872,6.8289,-0.899417,-0.946743,29.5387,56,29
SEAFET02114,5/20/23 5:30,5/20/23 1:30,23,0,6.7878,6.8295,-0.899457,-0.946732,29.4488,56,28.9
SEAFET02114,5/20/23 5:45,5/20/23 1:45,24,0,6.7891,6.8306,-0.899453,-0.946687,29.3583,56,28.8
SEAFET02114,5/20/23 6:00,5/20/23 2:00,25,0,6.7899,6.8315,-0.899478,-0.946658,29.2686,56,28.7
SEAFET02114,5/20/23 6:15,5/20/23 2:15,26,0,6.7911,6.8323,-0.899479,-0.946638,29.1785,55.9,28.7
SEAFET02114,5/20/23 6:30,5/20/23 2:30,27,0,6.7917,6.8329,-0.899515,-0.946625,29.0883,55.9,28.6
SEAFET02114,5/20/23 6:45,5/20/23 2:45,28,0,6.7931,6.8341,-0.899503,-0.94658,28.9973,55.9,28.5
SEAFET02114,5/20/23 7:00,5/20/23 3:00,29,0,6.794,6.8349,-0.899522,-0.946558,28.9071,55.9,28.4
SEAFET02114,5/20/23 7:15,5/20/23 3:15,30,0,6.7949,6.8353,-0.899547,-0.946556,28.8169,55.9,28.3
SEAFET02114,5/20/23 7:30,5/20/23 3:30,31,0,6.7961,6.8368,-0.899545,-0.946495,28.7267,55.9,28.2
SEAFET02114,5/20/23 7:45,5/20/23 3:45,32,0,6.7967,6.8371,-0.899584,-0.946501,28.6347,55.8,28.1
SEAFET02114,5/20/23 8:00,5/20/23 4:00,33,0,6.7983,6.8383,-0.899561,-0.946456,28.5433,55.8,28
SEAFET02114,5/20/23 8:15,5/20/23 4:15,34,0,6.7985,6.8379,-0.899627,-0.946505,28.4503,55.8,28
SEAFET02114,5/20/23 8:30,5/20/23 4:30,35,0,6.8003,6.8393,-0.899594,-0.946448,28.3573,55.8,27.8
SEAFET02114,5/20/23 8:45,5/20/23 4:45,36,0,6.8014,6.8402,-0.899606,-0.946417,28.2646,55.8,27.8
SEAFET02114,5/20/23 9:00,5/20/23 5:00,37,0,6.802,6.8409,-0.899643,-0.9464,28.1705,55.7,27.7
SEAFET02114,5/20/23 9:15,5/20/23 5:15,38,0,6.8029,6.8417,-0.899668,-0.946383,28.077,55.7,27.6
SEAFET02114,5/20/23 9:30,5/20/23 5:30,39,0,6.8042,6.8425,-0.899662,-0.946359,27.9844,55.7,27.5
SEAFET02114,5/20/23 9:45,5/20/23 5:45,40,0,6.8052,6.8432,-0.899679,-0.94634,27.8923,55.7,27.4
SEAFET02114,5/20/23 10:00,5/20/23 6:00,41,0,6.8057,6.843,-0.899723,-0.94638,27.8013,55.7,27.3
SEAFET02114,5/20/23 10:15,5/20/23 6:15,42,0,6.8071,6.8438,-0.899712,-0.946357,27.7116,55.6,27.2
SEAFET02114,5/20/23 10:30,5/20/23 6:30,43,0,6.8085,6.8447,-0.899702,-0.946326,27.6234,55.6,27.2
SEAFET02114,5/20/23 10:45,5/20/23 6:45,44,0,6.8088,6.8442,-0.899754,-0.946384,27.537,55.6,27.1
SEAFET02114,5/20/23 11:00,5/20/23 7:00,45,0,6.8097,6.845,-0.899768,-0.946358,27.4525,55.6,27
SEAFET02114,5/20/23 11:15,5/20/23 7:15,46,0,6.811,6.8463,-0.899755,-0.946304,27.3727,55.5,27
SEAFET02114,5/20/23 11:30,5/20/23 7:30,47,0,6.812,6.8467,-0.89975,-0.946298,27.3021,55.5,26.9
SEAFET02114,5/20/23 11:45,5/20/23 7:45,48,0,6.8135,6.8475,-0.899711,-0.946267,27.2408,55.4,27
SEAFET02114,5/20/23 12:00,5/20/23 8:00,49,0,6.8143,6.8475,-0.899711,-0.946285,27.1804,55.4,26.9
SEAFET02114,5/20/23 12:15,5/20/23 8:15,50,0,6.8149,6.8474,-0.899717,-0.946306,27.1276,55.3,26.9
SEAFET02114,5/20/23 12:30,5/20/23 8:30,51,0,6.8159,6.848,-0.899686,-0.946283,27.094,55.3,27
SEAFET02114,5/20/23 12:45,5/20/23 8:45,52,0,6.8154,6.8465,-0.899715,-0.946371,27.0963,55.2,27.2
SEAFET02114,5/20/23 13:00,5/20/23 9:00,53,0,6.8155,6.8456,-0.899666,-0.946406,27.1505,55.1,27.5
SEAFET02114,5/20/23 13:15,5/20/23 9:15,54,0,6.8142,6.8432,-0.899652,-0.946517,27.2662,55.1,27.9
SEAFET02114,5/20/23 13:30,5/20/23 9:30,55,0,6.812,6.8411,-0.899637,-0.94659,27.4457,55.1,28.4
SEAFET02114,5/20/23 13:45,5/20/23 9:45,56,0,6.809,6.838,-0.899624,-0.946713,27.6837,55.1,28.8
SEAFET02114,5/20/23 14:00,5/20/23 10:00,57,0,6.8058,6.835,-0.899579,-0.946812,27.9685,55.2,29.3
SEAFET02114,5/20/23 14:15,5/20/23 10:15,58,0,6.8016,6.8316,-0.899583,-0.946929,28.2717,55.3,29.6
SEAFET02114,5/20/23 14:30,5/20/23 10:30,59,0,6.7971,6.8287,-0.899621,-0.947021,28.5638,55.4,29.7
SEAFET02114,5/20/23 14:45,5/20/23 10:45,60,0,6.7949,6.8267,-0.899541,-0.94707,28.8229,55.5,29.8
SEAFET02114,5/20/23 15:00,5/20/23 11:00,61,0,6.7913,6.8253,-0.899577,-0.947093,29.0408,55.7,29.8
SEAFET02114,5/20/23 15:15,5/20/23 11:15,62,0,6.7898,6.8252,-0.899529,-0.947054,29.2147,55.8,29.7
SEAFET02114,5/20/23 15:30,5/20/23 11:30,63,0,6.7876,6.8237,-0.899541,-0.947101,29.3564,55.9,29.7
SEAFET02114,5/20/23 15:45,5/20/23 11:45,64,0,6.7874,6.824,-0.899459,-0.947056,29.4763,55.9,29.7
SEAFET02114,5/20/23 16:00,5/20/23 12:00,65,0,6.7856,6.8235,-0.899472,-0.947054,29.5916,55.9,29.9
SEAFET02114,5/20/23 16:15,5/20/23 12:15,66,0,6.7844,6.8232,-0.899456,-0.947039,29.6981,55.8,29.9
SEAFET02114,5/20/23 16:30,5/20/23 12:30,67,0,6.784,6.8229,-0.899419,-0.947038,29.7754,55.8,29.9
SEAFET02114,5/20/23 16:45,5/20/23 12:45,68,0,6.784,6.8231,-0.899395,-0.947015,29.8034,55.9,29.6
SEAFET02114,5/20/23 17:00,5/20/23 13:00,69,0,6.7838,6.8238,-0.899432,-0.946987,29.7692,55.9,29.3
SEAFET02114,5/20/23 17:15,5/20/23 13:15,70,0,6.7843,6.8251,-0.899489,-0.946934,29.6662,56.1,29
SEAFET02114,5/20/23 17:30,5/20/23 13:30,71,0,6.7856,6.8274,-0.899538,-0.946841,29.5076,56.1,28.7
SEAFET02114,5/20/23 17:45,5/20/23 13:45,72,0,6.7861,6.8277,-0.899671,-0.946878,29.3131,56.1,28.3
SEAFET02114,5/20/23 18:00,5/20/23 14:00,73,0,6.7871,6.8284,-0.899791,-0.946895,29.0895,56,28
SEAFET02114,5/20/23 18:15,5/20/23 14:15,74,0,6.7901,6.8308,-0.899786,-0.946811,28.8744,55.8,27.9
SEAFET02114,5/20/23 18:30,5/20/23 14:30,75,0,6.7916,6.83,-0.899814,-0.946899,28.7267,55.4,28.3
SEAFET02114,5/20/23 18:45,5/20/23 14:45,76,0,6.7932,6.8301,-0.899767,-0.946909,28.6705,55.3,28.5
SEAFET02114,5/20/23 19:00,5/20/23 15:00,77,0,6.792,6.8295,-0.899825,-0.94694,28.683,55.3,28.7
SEAFET02114,5/20/23 19:15,5/20/23 15:15,78,0,6.7906,6.8268,-0.899862,-0.947085,28.7448,55.1,29
SEAFET02114,5/20/23 19:30,5/20/23 15:30,79,0,6.7865,6.8214,-0.899914,-0.947345,28.9782,54.7,29.7
SEAFET02114,5/20/23 19:45,5/20/23 15:45,80,0,6.7812,6.8173,-0.900021,-0.947523,29.2389,55.1,30
SEAFET02114,5/20/23 20:00,5/20/23 16:00,81,0,6.7781,6.8151,-0.900054,-0.947604,29.4254,55.5,29.9
SEAFET02114,5/20/23 20:15,5/20/23 16:15,82,0,6.7769,6.8144,-0.900022,-0.947608,29.5596,55.6,29.9
SEAFET02114,5/20/23 20:30,5/20/23 16:30,83,0,6.7746,6.8126,-0.900075,-0.947685,29.6607,55.7,29.9
SEAFET02114,5/20/23 20:45,5/20/23 16:45,84,0,6.7744,6.8133,-0.900017,-0.947624,29.7444,55.7,29.9
SEAFET02114,5/20/23 21:00,5/20/23 17:00,85,0,6.7727,6.8129,-0.900061,-0.947627,29.8193,55.8,30
SEAFET02114,5/20/23 21:15,5/20/23 17:15,86,0,6.7705,6.8106,-0.900137,-0.947746,29.8894,55.8,30
SEAFET02114,5/20/23 21:30,5/20/23 17:30,87,0,6.7707,6.8107,-0.900072,-0.947719,29.9559,55.8,30.1
SEAFET02114,5/20/23 21:45,5/20/23 17:45,88,0,6.7704,6.8105,-0.900041,-0.947714,30.0177,55.8,30.1
SEAFET02114,5/20/23 22:00,5/20/23 18:00,89,0,6.7708,6.8104,-0.899964,-0.947708,30.0754,55.8,30.1
SEAFET02114,5/20/23 22:15,5/20/23 18:15,90,0,6.7693,6.8081,-0.900017,-0.947831,30.1255,55.9,30.2
SEAFET02114,5/20/23 22:30,5/20/23 18:30,91,0,6.7689,6.8079,-0.900005,-0.94783,30.1699,55.9,30.2
SEAFET02114,5/20/23 22:45,5/20/23 18:45,92,0,6.7691,6.8085,-0.899961,-0.947782,30.2078,55.9,30.2
SEAFET02114,5/20/23 23:00,5/20/23 19:00,93,0,6.7682,6.8066,-0.899989,-0.94789,30.238,55.9,30.2
SEAFET02114,5/20/23 23:15,5/20/23 19:15,94,0,6.768,6.8066,-0.899983,-0.947883,30.2625,56,30.2
SEAFET02114,5/20/23 23:30,5/20/23 19:30,95,0,6.7683,6.8064,-0.899951,-0.947891,30.2812,56,30.2
SEAFET02114,5/20/23 23:45,5/20/23 19:45,96,0,6.767,6.8056,-0.900018,-0.947937,30.2915,56,30.2
SEAFET02114,5/21/23 0:00,5/20/23 20:00,97,0,6.7679,6.8063,-0.899963,-0.947891,30.2972,56,30.2
SEAFET02114,5/21/23 0:15,5/20/23 20:15,98,0,6.7677,6.8052,-0.899976,-0.947956,30.2962,56,30.1
SEAFET02114,5/21/23 0:30,5/20/23 20:30,99,0,6.7675,6.8049,-0.899992,-0.947978,30.2908,56,30.1
SEAFET02114,5/21/23 0:45,5/20/23 20:45,100,0,6.7683,6.806,-0.899952,-0.947916,30.2789,56,30.1
SEAFET02114,5/21/23 1:00,5/20/23 21:00,101,0,6.7685,6.8058,-0.899952,-0.947929,30.2619,56,30
SEAFET02114,5/21/23 1:15,5/20/23 21:15,102,0,6.7688,6.8058,-0.899951,-0.947936,30.2414,56,30
SEAFET02114,5/21/23 1:30,5/20/23 21:30,103,0,6.7703,6.8071,-0.899879,-0.947865,30.2165,56.1,29.9
SEAFET02114,5/21/23 1:45,5/20/23 21:45,104,0,6.7697,6.8064,-0.899942,-0.947919,30.1869,56,29.9
SEAFET02114,5/21/23 2:00,5/20/23 22:00,105,0,6.7697,6.8061,-0.899964,-0.947942,30.1566,56,29.9
SEAFET02114,5/21/23 2:15,5/20/23 22:15,106,0,6.7711,6.8071,-0.89991,-0.947889,30.1222,56,29.9
SEAFET02114,5/21/23 2:30,5/20/23 22:30,107,0,6.7703,6.8065,-0.899985,-0.947939,30.0864,56.1,29.8
SEAFET02114,5/21/23 2:45,5/20/23 22:45,108,0,6.7713,6.8069,-0.899955,-0.947922,30.0505,56,29.8
SEAFET02114,5/21/23 3:00,5/20/23 23:00,109,0,6.7717,6.8074,-0.899962,-0.947906,30.0131,56,29.8
SEAFET02114,5/21/23 3:15,5/20/23 23:15,110,0,6.7716,6.807,-0.899999,-0.947937,29.9759,56,29.7
SEAFET02114,5/21/23 3:30,5/20/23 23:30,111,0,6.7723,6.8079,-0.899989,-0.947896,29.9379,56,29.6
SEAFET02114,5/21/23 3:45,5/20/23 23:45,112,0,6.7736,6.8088,-0.899944,-0.947849,29.8977,56,29.6
SEAFET02114,5/21/23 4:00,5/21/23 0:00,113,0,6.7733,6.8084,-0.899993,-0.947883,29.8577,56,29.6
SEAFET02114,5/21/23 4:15,5/21/23 0:15,114,0,6.7735,6.8081,-0.900017,-0.947915,29.8166,56,29.5
SEAFET02114,5/21/23 4:30,5/21/23 0:30,115,0,6.7742,6.8085,-0.900007,-0.947902,29.7736,56,29.5
SEAFET02114,5/21/23 4:45,5/21/23 0:45,116,0,6.7753,6.8098,-0.899975,-0.947839,29.7293,56,29.4
SEAFET02114,5/21/23 5:00,5/21/23 1:00,117,0,6.7755,6.8099,-0.900005,-0.947843,29.6837,56,29.4
SEAFET02114,5/21/23 5:15,5/21/23 1:15,118,0,6.776,6.8103,-0.900008,-0.947834,29.6377,56,29.3
SEAFET02114,5/21/23 5:30,5/21/23 1:30,119,0,6.7757,6.81,-0.900065,-0.947866,29.5903,56,29.3
SEAFET02114,5/21/23 5:45,5/21/23 1:45,120,0,6.7762,6.8102,-0.900079,-0.947862,29.5417,55.9,29.2
SEAFET02114,5/21/23 6:00,5/21/23 2:00,121,0,6.7774,6.8114,-0.900047,-0.947806,29.4928,55.9,29.2
SEAFET02114,5/21/23 6:15,5/21/23 2:15,122,0,6.7778,6.8116,-0.900063,-0.947809,29.4432,55.9,29.1
SEAFET02114,5/21/23 6:30,5/21/23 2:30,123,0,6.7783,6.8124,-0.900074,-0.947775,29.3919,55.9,29.1
SEAFET02114,5/21/23 6:45,5/21/23 2:45,124,0,6.7777,6.8116,-0.900153,-0.947835,29.3376,55.9,29
SEAFET02114,5/21/23 7:00,5/21/23 3:00,125,0,6.7794,6.814,-0.900097,-0.947709,29.2819,55.9,29
SEAFET02114,5/21/23 7:15,5/21/23 3:15,126,0,6.7798,6.8141,-0.900123,-0.947717,29.2217,55.9,28.9
SEAFET02114,5/21/23 7:30,5/21/23 3:30,127,0,6.7798,6.8145,-0.90017,-0.94771,29.1598,55.9,28.8
SEAFET02114,5/21/23 7:45,5/21/23 3:45,128,0,6.7816,6.8162,-0.900117,-0.947625,29.0941,55.9,28.7
SEAFET02114,5/21/23 8:00,5/21/23 4:00,129,0,6.7815,6.8159,-0.900174,-0.947665,29.0266,55.9,28.7
SEAFET02114,5/21/23 8:15,5/21/23 4:15,130,0,6.7822,6.8166,-0.900188,-0.947639,28.9578,55.9,28.6
SEAFET02114,5/21/23 8:30,5/21/23 4:30,131,0,6.7825,6.8171,-0.90023,-0.94763,28.8866,55.9,28.6
SEAFET02114,5/21/23 8:45,5/21/23 4:45,132,0,6.7837,6.8182,-0.90022,-0.947582,28.8146,55.8,28.5
SEAFET02114,5/21/23 9:00,5/21/23 5:00,133,0,6.7835,6.8183,-0.90029,-0.947599,28.7409,55.8,28.4
SEAFET02114,5/21/23 9:15,5/21/23 5:15,134,0,6.7847,6.8194,-0.900277,-0.947551,28.6675,55.8,28.3
SEAFET02114,5/21/23 9:30,5/21/23 5:30,135,0,6.7859,6.821,-0.900266,-0.947476,28.5939,55.8,28.2
SEAFET02114,5/21/23 9:45,5/21/23 5:45,136,0,6.7862,6.8223,-0.900307,-0.947417,28.522,55.8,28.2
SEAFET02114,5/21/23 10:00,5/21/23 6:00,137,0,6.7873,6.8232,-0.900299,-0.947383,28.45,55.8,28.1
SEAFET02114,5/21/23 10:15,5/21/23 6:15,138,0,6.7885,6.8245,-0.90028,-0.947326,28.3791,55.7,28.1
SEAFET02114,5/21/23 10:30,5/21/23 6:30,139,0,6.7887,6.8246,-0.900327,-0.947337,28.3096,55.7,28
SEAFET02114,5/21/23 10:45,5/21/23 6:45,140,0,6.7893,6.8252,-0.900344,-0.94732,28.2405,55.7,27.9
SEAFET02114,5/21/23 11:00,5/21/23 7:00,141,0,6.7896,6.8254,-0.900384,-0.947329,28.1715,55.7,27.8
SEAFET02114,5/21/23 11:15,5/21/23 7:15,142,0,6.79,6.8258,-0.900418,-0.947323,28.102,55.7,27.8
SEAFET02114,5/21/23 11:30,5/21/23 7:30,143,0,7.8309,7.868,-0.838353,-0.885101,27.9484,55.6,27.8
SEAFET02114,5/21/23 11:45,5/21/23 7:45,144,0,7.8918,7.9233,-0.834452,-0.881668,28.2053,55.4,28.1
SEAFET02114,5/21/23 12:00,5/21/23 8:00,145,0,7.8968,7.9183,-0.834173,-0.881979,28.1872,55.5,28.2
SEAFET02114,5/21/23 12:15,5/21/23 8:15,146,0,7.9153,7.9296,-0.832133,-0.880856,29.0866,55.3,28.7
SEAFET02114,5/21/23 12:30,5/21/23 8:30,147,0,7.9251,7.9267,-0.83149,-0.881007,29.1407,55.5,29
SEAFET02114,5/21/23 12:45,5/21/23 8:45,148,0,7.9326,7.9267,-0.830966,-0.880971,29.2103,55.6,29.1
SEAFET02114,5/21/23 13:00,5/21/23 9:00,149,0,7.9397,7.9278,-0.830489,-0.88088,29.2603,55.7,29.2
SEAFET02114,5/21/23 13:15,5/21/23 9:15,150,0,7.9444,7.9279,-0.830176,-0.88086,29.2928,55.8,29.2
SEAFET02114,5/21/23 13:30,5/21/23 9:30,151,0,7.9486,7.9285,-0.829899,-0.880809,29.3168,55.8,29.2
SEAFET02114,5/21/23 13:45,5/21/23 9:45,152,0,7.9498,7.9267,-0.829811,-0.88091,29.3293,55.9,29.2
SEAFET02114,5/21/23 14:00,5/21/23 10:00,153,0,7.951,7.9256,-0.82973,-0.880974,29.338,55.9,29.2
SEAFET02114,5/21/23 14:15,5/21/23 10:15,154,0,7.9549,7.927,-0.829492,-0.880887,29.3438,55.9,29.2
SEAFET02114,5/21/23 14:30,5/21/23 10:30,155,0,7.9537,7.9249,-0.829553,-0.881011,29.3518,55.9,29.3
SEAFET02114,5/21/23 14:45,5/21/23 10:45,156,0,7.9561,7.9261,-0.829402,-0.880933,29.3597,55.9,29.2
SEAFET02114,5/21/23 15:00,5/21/23 11:00,157,0,7.96,7.9292,-0.82916,-0.880742,29.3696,55.9,29.3
SEAFET02114,5/21/23 15:15,5/21/23 11:15,158,0,7.9615,7.9295,-0.829057,-0.880717,29.3807,55.9,29.3
SEAFET02114,5/21/23 15:30,5/21/23 11:30,159,0,7.9605,7.928,-0.829109,-0.880809,29.3848,55.9,29.3
SEAFET02114,5/21/23 15:45,5/21/23 11:45,160,0,7.9611,7.9282,-0.829063,-0.880788,29.3947,55.9,29.3
SEAFET02114,5/21/23 16:00,5/21/23 12:00,161,0,7.9615,7.928,-0.829037,-0.880797,29.4003,55.9,29.3
