Date,Time,Timestamp.UTC,Timestamp.AST,Speed (cm/s),Heading (degrees),Velocity-N (cm/s),Velocity-E (cm/s),Date,Temperature (C)
5/20/23,00:00:00,2023-05-20 00:00:00,2023-05-19 20:00:00,88.06,45.36,61.88,62.66,5/20/23,30.9209
5/20/23,00:15:00,2023-05-20 00:15:00,2023-05-19 20:15:00,88.06,45.46,61.76,62.77,5/20/23,30.8142
5/20/23,00:30:00,2023-05-20 00:30:00,2023-05-19 20:30:00,88.07,45.38,61.86,62.69,5/20/23,30.7163
5/20/23,00:45:00,2023-05-20 00:45:00,2023-05-19 20:45:00,88.07,45.46,61.78,62.77,5/20/23,30.6155
5/20/23,01:00:00,2023-05-20 01:00:00,2023-05-19 21:00:00,88.07,45.43,61.8,62.75,5/20/23,30.5135
5/20/23,01:15:00,2023-05-20 01:15:00,2023-05-19 21:15:00,88.08,45.58,61.65,62.9,5/20/23,30.4101
5/20/23,01:30:00,2023-05-20 01:30:00,2023-05-19 21:30:00,88.08,47.94,59.01,65.39,5/20/23,30.3053
5/20/23,01:45:00,2023-05-20 01:45:00,2023-05-19 21:45:00,88.08,47.71,59.27,65.16,5/20/23,30.1993
5/20/23,02:00:00,2023-05-20 02:00:00,2023-05-19 22:00:00,88.08,47.74,59.23,65.19,5/20/23,30.0962
5/20/23,02:15:00,2023-05-20 02:15:00,2023-05-19 22:15:00,88.09,47.71,59.28,65.16,5/20/23,29.9904
5/20/23,02:30:00,2023-05-20 02:30:00,2023-05-19 22:30:00,88.09,47.8,59.18,65.25,5/20/23,29.8832
5/20/23,02:45:00,2023-05-20 02:45:00,2023-05-19 22:45:00,88.1,47.75,59.24,65.21,5/20/23,29.7776
5/20/23,03:00:00,2023-05-20 03:00:00,2023-05-19 23:00:00,88.1,47.91,59.05,65.38,5/20/23,29.6764
5/20/23,03:15:00,2023-05-20 03:15:00,2023-05-19 23:15:00,88.12,47.88,59.09,65.36,5/20/23,29.5782
5/20/23,03:30:00,2023-05-20 03:30:00,2023-05-19 23:30:00,88.11,48.48,58.41,65.97,5/20/23,29.4816
5/20/23,03:45:00,2023-05-20 03:45:00,2023-05-19 23:45:00,88.12,48.04,58.91,65.53,5/20/23,29.3879
5/20/23,04:00:00,2023-05-20 04:00:00,2023-05-20 00:00:00,88.13,48.13,58.82,65.62,5/20/23,29.2915
5/20/23,04:15:00,2023-05-20 04:15:00,2023-05-20 00:15:00,88.12,48.3,58.63,65.79,5/20/23,29.1951
5/20/23,04:30:00,2023-05-20 04:30:00,2023-05-20 00:30:00,88.12,48.17,58.77,65.67,5/20/23,29.0974
5/20/23,04:45:00,2023-05-20 04:45:00,2023-05-20 00:45:00,88.13,48.53,58.36,66.04,5/20/23,28.9998
5/20/23,05:00:00,2023-05-20 05:00:00,2023-05-20 01:00:00,88.14,48.66,58.22,66.17,5/20/23,28.9023
5/20/23,05:15:00,2023-05-20 05:15:00,2023-05-20 01:15:00,88.13,48.77,58.09,66.28,5/20/23,28.8048
5/20/23,05:30:00,2023-05-20 05:30:00,2023-05-20 01:30:00,88.14,48.75,58.11,66.27,5/20/23,28.7118
5/20/23,05:45:00,2023-05-20 05:45:00,2023-05-20 01:45:00,88.13,48.91,57.93,66.42,5/20/23,28.6188
5/20/23,06:00:00,2023-05-20 06:00:00,2023-05-20 02:00:00,88.15,48.76,58.11,66.28,5/20/23,28.5259
5/20/23,06:15:00,2023-05-20 06:15:00,2023-05-20 02:15:00,88.16,48.88,57.97,66.41,5/20/23,28.4345
5/20/23,06:30:00,2023-05-20 06:30:00,2023-05-20 02:30:00,88.15,48.83,58.03,66.36,5/20/23,28.3432
5/20/23,06:45:00,2023-05-20 06:45:00,2023-05-20 02:45:00,88.16,49.08,57.74,66.62,5/20/23,28.2519
5/20/23,07:00:00,2023-05-20 07:00:00,2023-05-20 03:00:00,88.16,48.75,58.13,66.29,5/20/23,28.1622
5/20/23,07:15:00,2023-05-20 07:15:00,2023-05-20 03:15:00,88.16,48.83,58.04,66.36,5/20/23,28.0683
5/20/23,07:30:00,2023-05-20 07:30:00,2023-05-20 03:30:00,88.16,49.07,57.76,66.61,5/20/23,27.9715
5/20/23,07:45:00,2023-05-20 07:45:00,2023-05-20 03:45:00,88.16,49.43,57.34,66.96,5/20/23,27.8749
5/20/23,08:00:00,2023-05-20 08:00:00,2023-05-20 04:00:00,88.17,49.56,57.19,67.11,5/20/23,27.7784
5/20/23,08:15:00,2023-05-20 08:15:00,2023-05-20 04:15:00,88.18,49.59,57.16,67.14,5/20/23,27.6833
5/20/23,08:30:00,2023-05-20 08:30:00,2023-05-20 04:30:00,88.18,49.84,56.87,67.39,5/20/23,27.5883
5/20/23,08:45:00,2023-05-20 08:45:00,2023-05-20 04:45:00,88.18,50.1,56.56,67.65,5/20/23,27.4977
5/20/23,09:00:00,2023-05-20 09:00:00,2023-05-20 05:00:00,88.19,50.01,56.68,67.56,5/20/23,27.4057
5/20/23,09:15:00,2023-05-20 09:15:00,2023-05-20 05:15:00,88.19,49.89,56.82,67.45,5/20/23,27.3166
5/20/23,09:30:00,2023-05-20 09:30:00,2023-05-20 05:30:00,88.18,50.32,56.3,67.87,5/20/23,27.2261
5/20/23,09:45:00,2023-05-20 09:45:00,2023-05-20 05:45:00,88.2,50.21,56.44,67.78,5/20/23,27.1428
5/20/23,10:00:00,2023-05-20 10:00:00,2023-05-20 06:00:00,88.19,50.07,56.61,67.63,5/20/23,27.0595
5/20/23,10:15:00,2023-05-20 10:15:00,2023-05-20 06:15:00,88.2,50.24,56.4,67.8,5/20/23,26.9791
5/20/23,10:30:00,2023-05-20 10:30:00,2023-05-20 06:30:00,88.7,38.65,69.27,55.4,5/20/23,26.9058
5/20/23,10:45:00,2023-05-20 10:45:00,2023-05-20 06:45:00,88.7,38.47,69.44,55.19,5/20/23,26.8466
5/20/23,11:00:00,2023-05-20 11:00:00,2023-05-20 07:00:00,88.71,38.25,69.67,54.92,5/20/23,26.7959
5/20/23,11:15:00,2023-05-20 11:15:00,2023-05-20 07:15:00,80.47,47.12,54.75,58.97,5/20/23,26.7748
5/20/23,11:30:00,2023-05-20 11:30:00,2023-05-20 07:30:00,86.42,74.06,23.73,83.09,5/20/23,26.658
5/20/23,11:45:00,2023-05-20 11:45:00,2023-05-20 07:45:00,86.46,74.06,23.74,83.13,5/20/23,26.4458
5/20/23,12:00:00,2023-05-20 12:00:00,2023-05-20 08:00:00,86.47,74.04,23.78,83.14,5/20/23,26.3363
5/20/23,12:15:00,2023-05-20 12:15:00,2023-05-20 08:15:00,86.5,73.97,23.88,83.14,5/20/23,26.3742
5/20/23,12:30:00,2023-05-20 12:30:00,2023-05-20 08:30:00,86.51,73.8,24.13,83.08,5/20/23,26.5582
5/20/23,12:45:00,2023-05-20 12:45:00,2023-05-20 08:45:00,86.53,73.88,24.02,83.13,5/20/23,26.872
5/20/23,13:00:00,2023-05-20 13:00:00,2023-05-20 09:00:00,86.54,73.51,24.56,82.98,5/20/23,27.2954
5/20/23,13:15:00,2023-05-20 13:15:00,2023-05-20 09:15:00,86.54,73.09,25.17,82.79,5/20/23,27.8011
5/20/23,13:30:00,2023-05-20 13:30:00,2023-05-20 09:30:00,86.53,73.01,25.29,82.75,5/20/23,28.3489
5/20/23,13:45:00,2023-05-20 13:45:00,2023-05-20 09:45:00,86.31,76.79,19.72,84.02,5/20/23,28.9008
5/20/23,14:00:00,2023-05-20 14:00:00,2023-05-20 10:00:00,86.89,46.74,59.55,63.28,5/20/23,29.3836
5/20/23,14:15:00,2023-05-20 14:15:00,2023-05-20 10:15:00,85.53,24.05,78.1,34.86,5/20/23,29.6966
5/20/23,14:30:00,2023-05-20 14:30:00,2023-05-20 10:30:00,87.95,335.32,79.92,-36.72,5/20/23,29.779
5/20/23,14:45:00,2023-05-20 14:45:00,2023-05-20 10:45:00,88,336.63,80.78,-34.91,5/20/23,29.6562
5/20/23,15:00:00,2023-05-20 15:00:00,2023-05-20 11:00:00,88.05,330.89,76.93,-42.83,5/20/23,29.5898
5/20/23,15:15:00,2023-05-20 15:15:00,2023-05-20 11:15:00,87.98,334.57,79.46,-37.77,5/20/23,29.6533
5/20/23,15:30:00,2023-05-20 15:30:00,2023-05-20 11:30:00,86.07,349.78,84.7,-15.27,5/20/23,29.8239
5/20/23,15:45:00,2023-05-20 15:45:00,2023-05-20 11:45:00,80.51,321.88,63.33,-49.7,5/20/23,30.0324
5/20/23,16:00:00,2023-05-20 16:00:00,2023-05-20 12:00:00,81.81,4.65,81.54,6.63,5/20/23,30.0107
5/20/23,16:15:00,2023-05-20 16:15:00,2023-05-20 12:15:00,83.7,324.55,68.18,-48.55,5/20/23,29.6316
5/20/23,16:30:00,2023-05-20 16:30:00,2023-05-20 12:30:00,78.28,350.76,77.27,-12.57,5/20/23,29.1592
5/20/23,16:45:00,2023-05-20 16:45:00,2023-05-20 12:45:00,93.3,339.95,87.64,-31.99,5/20/23,28.6688
5/20/23,17:00:00,2023-05-20 17:00:00,2023-05-20 13:00:00,79.46,125.23,-45.83,64.91,5/20/23,28.1508
5/20/23,17:15:00,2023-05-20 17:15:00,2023-05-20 13:15:00,83.34,92.38,-3.46,83.27,5/20/23,27.6053
5/20/23,17:30:00,2023-05-20 17:30:00,2023-05-20 13:30:00,82.79,75.96,20.08,80.31,5/20/23,27.0948
5/20/23,17:45:00,2023-05-20 17:45:00,2023-05-20 13:45:00,77,107.08,-22.61,73.61,5/20/23,26.6369
5/20/23,18:00:00,2023-05-20 18:00:00,2023-05-20 14:00:00,88.06,193.51,-85.62,-20.57,5/20/23,26.2745
5/20/23,18:15:00,2023-05-20 18:15:00,2023-05-20 14:15:00,91.07,56.74,49.95,76.15,5/20/23,26.8368
5/20/23,18:30:00,2023-05-20 18:30:00,2023-05-20 14:30:00,83.17,48.95,54.62,62.72,5/20/23,27.6521
5/20/23,18:45:00,2023-05-20 18:45:00,2023-05-20 14:45:00,80.59,48.47,53.43,60.33,5/20/23,28.1779
5/20/23,19:00:00,2023-05-20 19:00:00,2023-05-20 15:00:00,79.23,48.3,52.71,59.15,5/20/23,28.523
5/20/23,19:15:00,2023-05-20 19:15:00,2023-05-20 15:15:00,72.52,18.35,68.83,22.83,5/20/23,28.9453
5/20/23,19:30:00,2023-05-20 19:30:00,2023-05-20 15:30:00,68.78,12.67,67.11,15.09,5/20/23,29.5927
5/20/23,19:45:00,2023-05-20 19:45:00,2023-05-20 15:45:00,61.73,1.03,61.72,1.11,5/20/23,29.9179
5/20/23,20:00:00,2023-05-20 20:00:00,2023-05-20 16:00:00,61.72,0.97,61.71,1.05,5/20/23,29.9817
5/20/23,20:15:00,2023-05-20 20:15:00,2023-05-20 16:15:00,61.7,0.92,61.7,0.99,5/20/23,30.0107
5/20/23,20:30:00,2023-05-20 20:30:00,2023-05-20 16:30:00,61.67,0.94,61.66,1.01,5/20/23,30.0454
5/20/23,20:45:00,2023-05-20 20:45:00,2023-05-20 16:45:00,61.67,0.92,61.66,0.99,5/20/23,30.0861
5/20/23,21:00:00,2023-05-20 21:00:00,2023-05-20 17:00:00,61.66,0.86,61.65,0.93,5/20/23,30.1354
5/20/23,21:15:00,2023-05-20 21:15:00,2023-05-20 17:15:00,61.65,0.89,61.64,0.96,5/20/23,30.1847
5/20/23,21:30:00,2023-05-20 21:30:00,2023-05-20 17:30:00,61.65,0.78,61.64,0.84,5/20/23,30.224
5/20/23,21:45:00,2023-05-20 21:45:00,2023-05-20 17:45:00,61.63,0.79,61.63,0.84,5/20/23,30.253
5/20/23,22:00:00,2023-05-20 22:00:00,2023-05-20 18:00:00,61.57,0.69,61.57,0.74,5/20/23,30.2734
5/20/23,22:15:00,2023-05-20 22:15:00,2023-05-20 18:15:00,61.56,0.71,61.56,0.76,5/20/23,30.2864
5/20/23,22:30:00,2023-05-20 22:30:00,2023-05-20 18:30:00,61.55,0.85,61.54,0.91,5/20/23,30.2937
5/20/23,22:45:00,2023-05-20 22:45:00,2023-05-20 18:45:00,61.55,0.82,61.54,0.88,5/20/23,30.2937
5/20/23,23:00:00,2023-05-20 23:00:00,2023-05-20 19:00:00,61.54,0.85,61.54,0.92,5/20/23,30.285
5/20/23,23:15:00,2023-05-20 23:15:00,2023-05-20 19:15:00,61.54,0.86,61.53,0.92,5/20/23,30.269
5/20/23,23:30:00,2023-05-20 23:30:00,2023-05-20 19:30:00,61.54,0.79,61.53,0.85,5/20/23,30.2457
5/20/23,23:45:00,2023-05-20 23:45:00,2023-05-20 19:45:00,61.53,0.73,61.52,0.79,5/20/23,30.2196
5/21/23,00:00:00,2023-05-21 00:00:00,2023-05-20 20:00:00,61.52,0.86,61.51,0.92,5/21/23,30.192
5/21/23,00:15:00,2023-05-21 00:15:00,2023-05-20 20:15:00,61.52,0.84,61.51,0.91,5/21/23,30.1557
5/21/23,00:30:00,2023-05-21 00:30:00,2023-05-20 20:30:00,61.51,0.73,61.51,0.78,5/21/23,30.1165
5/21/23,00:45:00,2023-05-21 00:45:00,2023-05-20 20:45:00,61.51,0.89,61.5,0.95,5/21/23,30.0759
5/21/23,01:00:00,2023-05-21 01:00:00,2023-05-20 21:00:00,61.49,0.72,61.49,0.77,5/21/23,30.028
5/21/23,01:15:00,2023-05-21 01:15:00,2023-05-20 21:15:00,61.49,0.87,61.48,0.93,5/21/23,29.9773
5/21/23,01:30:00,2023-05-21 01:30:00,2023-05-20 21:30:00,61.48,0.72,61.48,0.77,5/21/23,29.9281
5/21/23,01:45:00,2023-05-21 01:45:00,2023-05-20 21:45:00,61.48,0.9,61.47,0.97,5/21/23,29.8788
5/21/23,02:00:00,2023-05-21 02:00:00,2023-05-20 22:00:00,61.47,0.76,61.47,0.81,5/21/23,29.8311
5/21/23,02:15:00,2023-05-21 02:15:00,2023-05-20 22:15:00,61.47,0.84,61.46,0.91,5/21/23,29.7848
5/21/23,02:30:00,2023-05-21 02:30:00,2023-05-20 22:30:00,61.47,0.83,61.47,0.89,5/21/23,29.7414
5/21/23,02:45:00,2023-05-21 02:45:00,2023-05-20 22:45:00,61.47,0.77,61.46,0.82,5/21/23,29.6981
5/21/23,03:00:00,2023-05-21 03:00:00,2023-05-20 23:00:00,61.46,0.94,61.45,1.01,5/21/23,29.6547
5/21/23,03:15:00,2023-05-21 03:15:00,2023-05-20 23:15:00,61.46,0.75,61.45,0.81,5/21/23,29.61
5/21/23,03:30:00,2023-05-21 03:30:00,2023-05-20 23:30:00,61.45,0.92,61.44,0.99,5/21/23,29.5667
5/21/23,03:45:00,2023-05-21 03:45:00,2023-05-20 23:45:00,61.45,0.81,61.44,0.87,5/21/23,29.5176
5/21/23,04:00:00,2023-05-21 04:00:00,2023-05-21 00:00:00,61.44,0.88,61.43,0.95,5/21/23,29.4729
5/21/23,04:15:00,2023-05-21 04:15:00,2023-05-21 00:15:00,61.43,0.82,61.43,0.88,5/21/23,29.4239
5/21/23,04:30:00,2023-05-21 04:30:00,2023-05-21 00:30:00,61.44,0.84,61.43,0.9,5/21/23,29.3735
5/21/23,04:45:00,2023-05-21 04:45:00,2023-05-21 00:45:00,61.43,0.84,61.42,0.9,5/21/23,29.3217
5/21/23,05:00:00,2023-05-21 05:00:00,2023-05-21 01:00:00,61.43,0.86,61.42,0.92,5/21/23,29.2685
5/21/23,05:15:00,2023-05-21 05:15:00,2023-05-21 01:15:00,61.42,0.8,61.42,0.86,5/21/23,29.2167
5/21/23,05:30:00,2023-05-21 05:30:00,2023-05-21 01:30:00,61.42,0.84,61.41,0.9,5/21/23,29.1635
5/21/23,05:45:00,2023-05-21 05:45:00,2023-05-21 01:45:00,61.41,0.74,61.41,0.79,5/21/23,29.1075
5/21/23,06:00:00,2023-05-21 06:00:00,2023-05-21 02:00:00,61.41,0.77,61.41,0.82,5/21/23,29.05
5/21/23,06:15:00,2023-05-21 06:15:00,2023-05-21 02:15:00,61.4,0.72,61.4,0.77,5/21/23,28.9912
5/21/23,06:30:00,2023-05-21 06:30:00,2023-05-21 02:30:00,61.4,0.73,61.4,0.78,5/21/23,28.9295
5/21/23,06:45:00,2023-05-21 06:45:00,2023-05-21 02:45:00,61.39,0.67,61.39,0.72,5/21/23,28.8578
5/21/23,07:00:00,2023-05-21 07:00:00,2023-05-21 03:00:00,61.39,0.63,61.38,0.67,5/21/23,28.779
5/21/23,07:15:00,2023-05-21 07:15:00,2023-05-21 03:15:00,61.38,0.69,61.38,0.74,5/21/23,28.6975
5/21/23,07:30:00,2023-05-21 07:30:00,2023-05-21 03:30:00,61.37,0.7,61.37,0.75,5/21/23,28.6145
5/21/23,07:45:00,2023-05-21 07:45:00,2023-05-21 03:45:00,61.38,0.6,61.37,0.65,5/21/23,28.5345
5/21/23,08:00:00,2023-05-21 08:00:00,2023-05-21 04:00:00,61.37,0.5,61.37,0.53,5/21/23,28.4545
5/21/23,08:15:00,2023-05-21 08:15:00,2023-05-21 04:15:00,61.36,0.52,61.36,0.56,5/21/23,28.3717
5/21/23,08:30:00,2023-05-21 08:30:00,2023-05-21 04:30:00,61.35,0.58,61.35,0.62,5/21/23,28.2861
5/21/23,08:45:00,2023-05-21 08:45:00,2023-05-21 04:45:00,61.35,0.61,61.35,0.66,5/21/23,28.2035
5/21/23,09:00:00,2023-05-21 09:00:00,2023-05-21 05:00:00,61.34,0.5,61.34,0.54,5/21/23,28.1266
5/21/23,09:15:00,2023-05-21 09:15:00,2023-05-21 05:15:00,61.34,0.47,61.34,0.5,5/21/23,28.0526
5/21/23,09:30:00,2023-05-21 09:30:00,2023-05-21 05:30:00,61.34,0.48,61.34,0.51,5/21/23,27.9815
5/21/23,09:45:00,2023-05-21 09:45:00,2023-05-21 05:45:00,61.34,0.52,61.33,0.56,5/21/23,27.9161
5/21/23,10:00:00,2023-05-21 10:00:00,2023-05-21 06:00:00,61.33,0.46,61.32,0.49,5/21/23,27.8508
5/21/23,10:15:00,2023-05-21 10:15:00,2023-05-21 06:15:00,61.32,0.45,61.32,0.48,5/21/23,27.7883
5/21/23,10:30:00,2023-05-21 10:30:00,2023-05-21 06:30:00,61.32,0.5,61.32,0.53,5/21/23,27.723
5/21/23,10:45:00,2023-05-21 10:45:00,2023-05-21 06:45:00,61.23,0.62,61.23,0.67,5/21/23,27.6564
5/21/23,11:00:00,2023-05-21 11:00:00,2023-05-21 07:00:00,61.19,0.52,61.19,0.55,5/21/23,27.5883
5/21/23,11:15:00,2023-05-21 11:15:00,2023-05-21 07:15:00,93.38,322.44,74.02,-56.93,5/21/23,27.5062
5/21/23,11:30:00,2023-05-21 11:30:00,2023-05-21 07:30:00,12.78,258.55,-2.54,-12.52,5/21/23,27.5869
5/21/23,11:45:00,2023-05-21 11:45:00,2023-05-21 07:45:00,13.55,62.4,6.28,12.01,5/21/23,28.5002
5/21/23,12:00:00,2023-05-21 12:00:00,2023-05-21 08:00:00,13.38,249.03,-4.79,-12.5,5/21/23,28.2762
5/21/23,12:15:00,2023-05-21 12:15:00,2023-05-21 08:15:00,3.33,119.38,-1.64,2.9,5/21/23,29.221
2023-05-21,12:30:00,2023-05-21 12:30:00,2023-05-21 08:30:00,1.46,99.92,-0.25,1.44,5/21/23,29.2541
2023-05-21,12:45:00,2023-05-21 12:45:00,2023-05-21 08:45:00,1.35,107.66,-0.41,1.29,5/21/23,29.28
2023-05-21,13:00:00,2023-05-21 13:00:00,2023-05-21 09:00:00,1.98,106.68,-0.57,1.9,5/21/23,29.28
2023-05-21,13:15:00,2023-05-21 13:15:00,2023-05-21 09:15:00,1.5,61.02,0.73,1.31,5/21/23,29.2886
2023-05-21,13:30:00,2023-05-21 13:30:00,2023-05-21 09:30:00,1.83,71.48,0.58,1.73,5/21/23,29.2958
2023-05-21,13:45:00,2023-05-21 13:45:00,2023-05-21 09:45:00,1.33,69.22,0.47,1.24,5/21/23,29.2944
2023-05-21,14:00:00,2023-05-21 14:00:00,2023-05-21 10:00:00,1.6,105.77,-0.44,1.54,5/21/23,29.2872
2023-05-21,14:15:00,2023-05-21 14:15:00,2023-05-21 10:15:00,1.45,165.65,-1.41,0.36,5/21/23,29.2929
2023-05-21,14:30:00,2023-05-21 14:30:00,2023-05-21 10:30:00,1.9,67.81,0.72,1.76,5/21/23,29.2915
2023-05-21,14:45:00,2023-05-21 14:45:00,2023-05-21 10:45:00,1.57,90.66,-0.02,1.57,5/21/23,29.3087
2023-05-21,15:00:00,2023-05-21 15:00:00,2023-05-21 11:00:00,1.78,133.71,-1.23,1.28,5/21/23,29.3159
2023-05-21,15:15:00,2023-05-21 15:15:00,2023-05-21 11:15:00,2,98.97,-0.31,1.97,5/21/23,29.3303
2023-05-21,15:30:00,2023-05-21 15:30:00,2023-05-21 11:30:00,1.77,119,-0.86,1.54,5/21/23,29.3318
2023-05-21,15:45:00,2023-05-21 15:45:00,2023-05-21 11:45:00,1.46,93.44,-0.09,1.45,5/21/23,29.339
2023-05-21,16:00:00,2023-05-21 16:00:00,2023-05-21 12:00:00,1.4,148.55,-1.2,0.73,5/21/23,29.3476
2023-05-21,16:15:00,2023-05-21 16:15:00,2023-05-21 12:15:00,1.09,98.08,-0.15,1.08,5/21/23,29.3635
2023-05-21,16:30:00,2023-05-21 16:30:00,2023-05-21 12:30:00,1.72,159.56,-1.61,0.6,5/21/23,29.3692
2023-05-21,16:45:00,2023-05-21 16:45:00,2023-05-21 12:45:00,0.59,102.01,-0.12,0.57,5/21/23,29.3707
